Instance,Terminal,Layer,X location,Y location,Voltage
fanout118,VGND,li1,76.8200,54.4000,0.000073
fanout117,VGND,li1,77.2800,38.0800,0.000065
fanout116,VGND,li1,50.6000,81.6000,0.000044
fanout115,VGND,li1,40.4800,54.4000,0.000044
max_cap114,VGND,li1,70.3800,59.8400,0.000045
fanout113,VGND,li1,76.3600,43.5200,0.000072
fanout112,VGND,li1,80.9600,38.0800,0.000067
fanout111,VGND,li1,34.9600,32.6400,0.000030
fanout110,VGND,li1,63.4800,48.9600,0.000053
fanout109,VGND,li1,41.4000,54.4000,0.000044
fanout108,VGND,li1,72.2200,43.5200,0.000070
max_cap107,VGND,li1,70.3800,16.3200,0.000087
max_cap106,VGND,li1,56.1200,32.6400,0.000055
max_cap105,VGND,li1,14.2600,10.8800,0.000014
max_cap104,VGND,li1,11.9600,38.0800,0.000026
max_cap103,VGND,li1,17.4800,48.9600,0.000020
max_cap102,VGND,li1,19.7800,54.4000,0.000024
output101,VGND,li1,8.7400,16.3200,0.000031
output100,VGND,li1,33.5800,21.7600,0.000033
output99,VGND,li1,44.6200,16.3200,0.000060
output98,VGND,li1,67.6200,10.8800,0.000045
output97,VGND,li1,72.2200,16.3200,0.000088
output96,VGND,li1,55.2000,10.8800,0.000039
output95,VGND,li1,91.0800,27.2000,0.000081
output94,VGND,li1,87.4000,38.0800,0.000068
output93,VGND,li1,91.0800,54.4000,0.000077
output92,VGND,li1,87.4000,21.7600,0.000075
output91,VGND,li1,87.4000,65.2800,0.000060
output90,VGND,li1,91.0800,76.1600,0.000059
output89,VGND,li1,47.3800,87.0400,0.000041
output88,VGND,li1,75.9000,87.0400,0.000057
output87,VGND,li1,91.0800,87.0400,0.000061
output86,VGND,li1,75.9000,81.6000,0.000058
output85,VGND,li1,38.6400,87.0400,0.000032
output84,VGND,li1,28.9800,87.0400,0.000020
output83,VGND,li1,12.4200,81.6000,0.000021
output82,VGND,li1,12.4200,70.7200,0.000022
output81,VGND,li1,85.1000,10.8800,0.000050
output80,VGND,li1,8.7400,54.4000,0.000026
output79,VGND,li1,55.2000,87.0400,0.000047
output78,VGND,li1,51.0600,87.0400,0.000043
output77,VGND,li1,80.9600,43.5200,0.000074
output76,VGND,li1,8.7400,43.5200,0.000026
output75,VGND,li1,8.7400,59.8400,0.000019
output74,VGND,li1,8.7400,38.0800,0.000027
output73,VGND,li1,8.7400,27.2000,0.000028
output72,VGND,li1,18.4000,38.0800,0.000024
output71,VGND,li1,12.4200,27.2000,0.000028
output70,VGND,li1,79.5800,27.2000,0.000077
output69,VGND,li1,81.8800,43.5200,0.000074
input68,VGND,li1,86.4800,21.7600,0.000075
input67,VGND,li1,91.0800,43.5200,0.000075
input66,VGND,li1,83.7200,54.4000,0.000075
input65,VGND,li1,83.2600,48.9600,0.000061
input64,VGND,li1,8.7400,21.7600,0.000023
input63,VGND,li1,23.0000,10.8800,0.000013
input62,VGND,li1,40.9400,16.3200,0.000052
input61,VGND,li1,42.3200,10.8800,0.000029
input60,VGND,li1,72.2200,10.8800,0.000047
input59,VGND,li1,55.2000,16.3200,0.000073
input58,VGND,li1,91.0800,21.7600,0.000075
input57,VGND,li1,91.0800,32.6400,0.000068
input56,VGND,li1,91.0800,59.8400,0.000049
input55,VGND,li1,87.4000,27.2000,0.000080
input54,VGND,li1,91.0800,59.8400,0.000049
input53,VGND,li1,91.0800,65.2800,0.000060
input52,VGND,li1,47.8400,81.6000,0.000041
input51,VGND,li1,64.8600,87.0400,0.000052
input50,VGND,li1,85.1000,87.0400,0.000060
input49,VGND,li1,87.4000,76.1600,0.000058
input48,VGND,li1,38.1800,81.6000,0.000033
input47,VGND,li1,21.6200,87.0400,0.000015
input46,VGND,li1,8.7400,81.6000,0.000021
input45,VGND,li1,12.8800,70.7200,0.000022
input44,VGND,li1,75.9000,16.3200,0.000089
input43,VGND,li1,8.7400,70.7200,0.000022
input42,VGND,li1,63.0200,81.6000,0.000053
input41,VGND,li1,87.4000,54.4000,0.000076
input40,VGND,li1,91.0800,38.0800,0.000069
input39,VGND,li1,8.7400,38.0800,0.000027
input38,VGND,li1,16.1000,54.4000,0.000025
input37,VGND,li1,14.7200,48.9600,0.000021
input36,VGND,li1,20.7000,43.5200,0.000023
input35,VGND,li1,34.5000,16.3200,0.000044
input34,VGND,li1,16.1000,27.2000,0.000026
input33,VGND,li1,83.7200,16.3200,0.000092
input32,VGND,li1,12.4200,21.7600,0.000022
input31,VGND,li1,24.8400,16.3200,0.000025
input30,VGND,li1,34.5000,10.8800,0.000022
input29,VGND,li1,47.8400,10.8800,0.000033
input28,VGND,li1,67.6200,16.3200,0.000085
input27,VGND,li1,51.5200,10.8800,0.000035
input26,VGND,li1,63.9400,10.8800,0.000044
input25,VGND,li1,84.1800,32.6400,0.000068
input24,VGND,li1,87.4000,54.4000,0.000076
input23,VGND,li1,83.2600,27.2000,0.000079
input22,VGND,li1,91.0800,65.2800,0.000060
input21,VGND,li1,91.0800,70.7200,0.000062
input20,VGND,li1,42.3200,87.0400,0.000036
input19,VGND,li1,61.1800,87.0400,0.000050
input18,VGND,li1,79.5800,87.0400,0.000058
input17,VGND,li1,91.0800,76.1600,0.000059
input16,VGND,li1,34.9600,87.0400,0.000028
input15,VGND,li1,25.3000,87.0400,0.000015
input14,VGND,li1,8.7400,81.6000,0.000021
input13,VGND,li1,8.7400,76.1600,0.000020
input12,VGND,li1,80.5000,10.8800,0.000049
input11,VGND,li1,8.7400,65.2800,0.000019
input10,VGND,li1,72.2200,87.0400,0.000056
input9,VGND,li1,91.0800,54.4000,0.000077
input8,VGND,li1,91.0800,38.0800,0.000069
input7,VGND,li1,16.1000,43.5200,0.000024
input6,VGND,li1,12.4200,54.4000,0.000026
input5,VGND,li1,12.4200,59.8400,0.000018
input4,VGND,li1,12.4200,43.5200,0.000025
input3,VGND,li1,29.4400,16.3200,0.000032
input2,VGND,li1,15.1800,32.6400,0.000022
input1,VGND,li1,77.2800,21.7600,0.000071
TAP_TAPCELL_ROW_27_145,VGND,li1,83.0300,86.7480,0.000059
TAP_TAPCELL_ROW_27_144,VGND,li1,70.1500,86.7480,0.000055
